timestamp_us,x_m,y_m,z_m,arming_state,nav_state,failsafe,phase
1757526926035270,0.000,0.000,0.000,0,0,0,WaitPose
1757526926136252,0.000,0.000,0.000,0,0,0,WaitPose
1757526926237748,0.000,0.000,0.000,0,0,0,WaitPose
1757526926338885,0.000,0.000,0.000,0,0,0,WaitPose
1757526926439916,0.000,0.000,0.000,0,0,0,WaitPose
1757526926540842,0.000,0.000,0.000,0,0,0,WaitPose
1757526926641647,0.000,0.000,0.000,0,0,0,WaitPose
1757526926742525,0.000,0.000,0.000,0,0,0,WaitPose
1757526926843374,0.000,0.000,0.000,0,0,0,WaitPose
1757526926944285,0.000,0.000,0.000,0,0,0,WaitPose
1757526927044972,0.000,0.000,0.000,0,0,0,WaitPose
1757526927145827,0.000,0.000,0.000,0,0,0,WaitPose
1757526927246559,0.000,0.000,0.000,0,0,0,WaitPose
1757526927347493,0.000,0.000,0.000,0,0,0,WaitPose
1757526927450268,0.000,0.000,0.000,0,0,0,WaitPose
1757526927551079,0.000,0.000,0.000,0,0,0,WaitPose
1757526927652012,0.000,0.000,0.000,0,0,0,WaitPose
1757526927752929,0.000,0.000,0.000,0,0,0,WaitPose
1757526927854285,0.000,0.000,0.000,0,0,0,WaitPose
1757526927956941,0.000,0.000,0.000,0,0,0,WaitPose
1757526928058305,0.000,0.000,0.000,0,0,0,WaitPose
1757526928159203,0.000,0.000,0.000,0,0,0,WaitPose
1757526928260144,0.000,0.000,0.000,0,0,0,WaitPose
1757526928361470,0.000,0.000,0.000,0,0,0,WaitPose
1757526928462345,0.000,0.000,0.000,0,0,0,WaitPose
1757526928563294,0.000,0.000,0.000,0,0,0,WaitPose
1757526928664347,0.000,0.000,0.000,0,0,0,WaitPose
1757526928765192,0.000,0.000,0.000,0,0,0,WaitPose
1757526928866073,0.000,0.000,0.000,0,0,0,WaitPose
1757526928966836,0.000,0.000,0.000,0,0,0,WaitPose
1757526929067627,0.000,0.000,0.000,0,0,0,WaitPose
1757526929168522,0.000,0.000,0.000,0,0,0,WaitPose
1757526929269423,0.000,0.000,0.000,0,0,0,WaitPose
1757526929370402,0.000,0.000,0.000,0,0,0,WaitPose
1757526929471446,0.000,0.000,0.000,0,0,0,WaitPose
1757526929572264,0.000,0.000,0.000,0,0,0,FailsafeLand
1757526929675402,0.000,0.000,0.000,0,0,0,FailsafeLand
1757526929776492,0.000,0.000,0.000,0,0,0,FailsafeLand
1757526929877324,0.000,0.000,0.000,0,0,0,FailsafeLand
1757526929978165,0.000,0.000,0.000,0,0,0,FailsafeLand
1757526930079901,0.000,0.000,0.000,0,0,0,FailsafeLand
1757526930181370,0.000,0.000,0.000,0,0,0,FailsafeLand
1757526930282264,0.000,0.000,0.000,0,0,0,FailsafeLand
1757526930383242,0.000,0.000,0.000,0,0,0,FailsafeLand
1757526930484088,0.000,0.000,0.000,0,0,0,FailsafeLand
1757526930584974,0.000,0.000,0.000,0,0,0,FailsafeLand
1757526930685954,0.000,0.000,0.000,0,0,0,FailsafeLand
1757526930786923,0.000,0.000,0.000,0,0,0,FailsafeLand
1757526930887855,0.000,0.000,0.000,0,0,0,FailsafeLand
1757526930988732,0.000,0.000,0.000,0,0,0,FailsafeLand
1757526931089547,0.000,0.000,0.000,0,0,0,FailsafeLand
1757526931190514,0.000,0.000,0.000,0,0,0,FailsafeLand
1757526931286953,0.000,0.000,0.000,0,0,0,FailsafeLand
1757526931387874,0.000,0.000,0.000,0,0,0,FailsafeLand
1757526931488892,0.000,0.000,0.000,0,0,0,FailsafeLand
1757526931589857,0.000,0.000,0.000,0,0,0,FailsafeLand
1757526931690972,0.000,0.000,0.000,0,0,0,FailsafeLand
1757526931791923,0.000,0.000,0.000,0,0,0,FailsafeLand
1757526931892820,0.000,0.000,0.000,0,0,0,FailsafeLand
1757526931994123,0.000,0.000,0.000,0,0,0,FailsafeLand
1757526932095226,0.000,0.000,0.000,0,0,0,FailsafeLand
1757526932196235,0.000,0.000,0.000,0,0,0,FailsafeLand
1757526932297175,0.000,0.000,0.000,0,0,0,FailsafeLand
1757526932398137,0.000,0.000,0.000,0,0,0,FailsafeLand
1757526932500959,0.000,0.000,0.000,0,0,0,FailsafeLand
1757526932602045,0.000,0.000,0.000,0,0,0,FailsafeLand
1757526932703048,0.000,0.000,0.000,0,0,0,FailsafeLand
1757526932803978,0.000,0.000,0.000,0,0,0,FailsafeLand
1757526932905069,0.000,0.000,0.000,0,0,0,FailsafeLand
1757526933006119,0.000,0.000,0.000,0,0,0,FailsafeLand
1757526933106981,0.000,0.000,0.000,0,0,0,FailsafeLand
1757526933208852,0.000,0.000,0.000,0,0,0,FailsafeLand
1757526933309804,0.000,0.000,0.000,0,0,0,FailsafeLand
1757526933411016,0.000,0.000,0.000,0,0,0,FailsafeLand
1757526933514865,0.000,0.000,0.000,0,0,0,FailsafeLand
1757526933616438,0.000,0.000,0.000,0,0,0,FailsafeLand
1757526933717725,0.000,0.000,0.000,0,0,0,FailsafeLand
1757526933821722,0.000,0.000,0.000,0,0,0,FailsafeLand
1757526933923075,0.000,0.000,0.000,0,0,0,FailsafeLand
1757526934024034,0.000,0.000,0.000,0,0,0,FailsafeLand
1757526934126755,0.000,0.000,0.000,0,0,0,FailsafeLand
1757526934227701,0.000,0.000,0.000,0,0,0,FailsafeLand
1757526934328566,0.000,0.000,0.000,0,0,0,FailsafeLand
1757526934429614,0.000,0.000,0.000,0,0,0,FailsafeLand
